Date,Price,Open,High,Low,Volume,Chg%
2023-02-27,55447,55503,55540,55341,2610,-0.16
2023-02-24,55535,55794,55794,55486,6660,-0.17
2023-02-23,55630,56000,56000,55566,6190,-0.77
2023-02-22,56060,56103,56350,55963,6300,-0.17
2023-02-21,56157,56181,56285,56000,6390,-0.08
2023-02-20,56202,56194,56339,56181,3510,-0.05
2023-02-17,56232,56348,56348,55737,9200,0.01
2023-02-16,56229,56235,56280,55929,8920,0.14
2023-02-15,56151,56634,56634,56103,10490,-0.93
2023-02-14,56679,56560,56949,56367,16320,0.34
2023-02-13,56486,56759,56839,56466,7870,-0.4
2023-02-10,56711,56740,56800,56465,10530,-0.15
2023-02-09,56797,57117,57281,56690,9660,-0.58
2023-02-08,57128,57188,57303,56930,7560,-0.08
2023-02-07,57175,57000,57269,56888,9070,0.44
2023-02-06,56926,56690,57076,56665,10030,-0.87
2023-02-03,57424,57962,57990,57202,90,-0.5
2023-02-02,57710,58299,58895,57700,210,0.19
2023-02-01,57599,56879,58100,56800,640,1.29
2023-01-31,56864,56700,56935,56460,1040,0.19
2023-01-30,56754,56760,57001,56588,4850,-0.06
2023-01-27,56789,56730,56895,56500,10210,-0.13
2023-01-25,56865,56895,56929,56650,6580,-0.03
2023-01-24,56881,56815,57000,56633,9070,0.31
2023-01-23,56705,56610,56799,56385,8710,0.24
2023-01-20,56569,56540,56768,56507,6480,0.22
2023-01-19,56443,56299,56470,56187,7670,0.4
2023-01-18,56220,56289,56492,56073,9600,-0.15
2023-01-17,56306,56230,56430,56230,6770,-0.19
2023-01-16,56414,56295,56460,56262,5510,0.34
2023-01-13,56224,55845,56253,55800,11810,0.76
2023-01-12,55801,55700,55920,55550,8850,0.29
2023-01-11,55641,55655,55855,55472,7340,0.0
2023-01-10,55642,55849,55879,55580,6970,-0.27
2023-01-09,55792,55952,56077,55721,8180,0.29
2023-01-06,55628,55303,55700,55205,9170,1.01
2023-01-05,55071,56107,56107,54997,740,-1.11
2023-01-04,55688,55600,55821,55555,450,0.56
2023-01-03,55380,55419,55820,55264,1590,0.66
2023-01-02,55016,54900,55029,54898,550,0.43
